Binary,Function Name,Function URL
dc,Shell,/gtfobins/dc/#shell
dc,Sudo,/gtfobins/dc/#sudo
dc,Limited SUID,/gtfobins/dc/#limited-suid
dd,File write,/gtfobins/dd/#file-write
dd,File read,/gtfobins/dd/#file-read
dd,SUID,/gtfobins/dd/#suid
dd,Sudo,/gtfobins/dd/#sudo
debugfs,Shell,/gtfobins/debugfs/#shell
debugfs,SUID,/gtfobins/debugfs/#suid
debugfs,Sudo,/gtfobins/debugfs/#sudo
dialog,File read,/gtfobins/dialog/#file-read
dialog,SUID,/gtfobins/dialog/#suid
dialog,Sudo,/gtfobins/dialog/#sudo
diff,File read,/gtfobins/diff/#file-read
diff,SUID,/gtfobins/diff/#suid
diff,Sudo,/gtfobins/diff/#sudo
dig,File read,/gtfobins/dig/#file-read
dig,SUID,/gtfobins/dig/#suid
dig,Sudo,/gtfobins/dig/#sudo
distcc,Shell,/gtfobins/distcc/#shell
distcc,SUID,/gtfobins/distcc/#suid
distcc,Sudo,/gtfobins/distcc/#sudo
dmesg,Shell,/gtfobins/dmesg/#shell
dmesg,File read,/gtfobins/dmesg/#file-read
dmesg,Sudo,/gtfobins/dmesg/#sudo
dmidecode,Sudo,/gtfobins/dmidecode/#sudo
dmsetup,SUID,/gtfobins/dmsetup/#suid
dmsetup,Sudo,/gtfobins/dmsetup/#sudo
dnf,Sudo,/gtfobins/dnf/#sudo
docker,Shell,/gtfobins/docker/#shell
docker,File write,/gtfobins/docker/#file-write
docker,File read,/gtfobins/docker/#file-read
docker,SUID,/gtfobins/docker/#suid
docker,Sudo,/gtfobins/docker/#sudo
dos2unix,File write,/gtfobins/dos2unix/#file-write
dosbox,File write,/gtfobins/dosbox/#file-write
dosbox,File read,/gtfobins/dosbox/#file-read
dosbox,SUID,/gtfobins/dosbox/#suid
dosbox,Sudo,/gtfobins/dosbox/#sudo
dotnet,Shell,/gtfobins/dotnet/#shell
dotnet,File read,/gtfobins/dotnet/#file-read
dotnet,Sudo,/gtfobins/dotnet/#sudo
dpkg,Shell,/gtfobins/dpkg/#shell
dpkg,Sudo,/gtfobins/dpkg/#sudo
dstat,Shell,/gtfobins/dstat/#shell
dstat,Sudo,/gtfobins/dstat/#sudo
dvips,Shell,/gtfobins/dvips/#shell
dvips,Sudo,/gtfobins/dvips/#sudo
dvips,Limited SUID,/gtfobins/dvips/#limited-suid
easy_install,Shell,/gtfobins/easy_install/#shell
easy_install,Reverse shell,/gtfobins/easy_install/#reverse-shell
easy_install,File upload,/gtfobins/easy_install/#file-upload
easy_install,File download,/gtfobins/easy_install/#file-download
easy_install,File write,/gtfobins/easy_install/#file-write
easy_install,File read,/gtfobins/easy_install/#file-read
easy_install,Library load,/gtfobins/easy_install/#library-load
easy_install,Sudo,/gtfobins/easy_install/#sudo
eb,Shell,/gtfobins/eb/#shell
eb,Sudo,/gtfobins/eb/#sudo
ed,Shell,/gtfobins/ed/#shell
ed,File write,/gtfobins/ed/#file-write
ed,File read,/gtfobins/ed/#file-read
ed,SUID,/gtfobins/ed/#suid
ed,Sudo,/gtfobins/ed/#sudo
ed,Limited SUID,/gtfobins/ed/#limited-suid
efax,SUID,/gtfobins/efax/#suid
efax,Sudo,/gtfobins/efax/#sudo
elvish,Shell,/gtfobins/elvish/#shell
elvish,File write,/gtfobins/elvish/#file-write
elvish,File read,/gtfobins/elvish/#file-read
elvish,SUID,/gtfobins/elvish/#suid
elvish,Sudo,/gtfobins/elvish/#sudo
emacs,Shell,/gtfobins/emacs/#shell
emacs,File write,/gtfobins/emacs/#file-write
emacs,File read,/gtfobins/emacs/#file-read
emacs,SUID,/gtfobins/emacs/#suid
emacs,Sudo,/gtfobins/emacs/#sudo
enscript,Shell,/gtfobins/enscript/#shell
enscript,Sudo,/gtfobins/enscript/#sudo
env,Shell,/gtfobins/env/#shell
env,SUID,/gtfobins/env/#suid
env,Sudo,/gtfobins/env/#sudo
eqn,File read,/gtfobins/eqn/#file-read
eqn,SUID,/gtfobins/eqn/#suid
eqn,Sudo,/gtfobins/eqn/#sudo
espeak,File read,/gtfobins/espeak/#file-read
espeak,SUID,/gtfobins/espeak/#suid
espeak,Sudo,/gtfobins/espeak/#sudo
ex,Shell,/gtfobins/ex/#shell
ex,File write,/gtfobins/ex/#file-write
ex,File read,/gtfobins/ex/#file-read
ex,Sudo,/gtfobins/ex/#sudo
exiftool,File write,/gtfobins/exiftool/#file-write
exiftool,File read,/gtfobins/exiftool/#file-read
exiftool,Sudo,/gtfobins/exiftool/#sudo
expand,File read,/gtfobins/expand/#file-read
expand,SUID,/gtfobins/expand/#suid
expand,Sudo,/gtfobins/expand/#sudo
expect,Shell,/gtfobins/expect/#shell
expect,File read,/gtfobins/expect/#file-read
expect,SUID,/gtfobins/expect/#suid
expect,Sudo,/gtfobins/expect/#sudo
facter,Shell,/gtfobins/facter/#shell
facter,Sudo,/gtfobins/facter/#sudo
file,File read,/gtfobins/file/#file-read
file,SUID,/gtfobins/file/#suid
file,Sudo,/gtfobins/file/#sudo
find,Shell,/gtfobins/find/#shell
find,File write,/gtfobins/find/#file-write
find,SUID,/gtfobins/find/#suid
find,Sudo,/gtfobins/find/#sudo
finger,File upload,/gtfobins/finger/#file-upload
finger,File download,/gtfobins/finger/#file-download
fish,Shell,/gtfobins/fish/#shell
fish,SUID,/gtfobins/fish/#suid
fish,Sudo,/gtfobins/fish/#sudo
flock,Shell,/gtfobins/flock/#shell
flock,SUID,/gtfobins/flock/#suid
flock,Sudo,/gtfobins/flock/#sudo
fmt,File read,/gtfobins/fmt/#file-read
fmt,SUID,/gtfobins/fmt/#suid
fmt,Sudo,/gtfobins/fmt/#sudo
fold,File read,/gtfobins/fold/#file-read
fold,SUID,/gtfobins/fold/#suid
fold,Sudo,/gtfobins/fold/#sudo
fping,File read,/gtfobins/fping/#file-read
fping,Sudo,/gtfobins/fping/#sudo
ftp,Shell,/gtfobins/ftp/#shell
ftp,File upload,/gtfobins/ftp/#file-upload
ftp,File download,/gtfobins/ftp/#file-download
ftp,Sudo,/gtfobins/ftp/#sudo
gawk,Shell,/gtfobins/gawk/#shell
gawk,Non-interactive reverse shell,/gtfobins/gawk/#non-interactive-reverse-shell
gawk,Non-interactive bind shell,/gtfobins/gawk/#non-interactive-bind-shell
gawk,File write,/gtfobins/gawk/#file-write
gawk,File read,/gtfobins/gawk/#file-read
gawk,SUID,/gtfobins/gawk/#suid
gawk,Sudo,/gtfobins/gawk/#sudo
gawk,Limited SUID,/gtfobins/gawk/#limited-suid
gcc,Shell,/gtfobins/gcc/#shell
gcc,File write,/gtfobins/gcc/#file-write
gcc,File read,/gtfobins/gcc/#file-read
gcc,Sudo,/gtfobins/gcc/#sudo
gcloud,Shell,/gtfobins/gcloud/#shell
gcloud,Sudo,/gtfobins/gcloud/#sudo
gcore,File read,/gtfobins/gcore/#file-read
gcore,SUID,/gtfobins/gcore/#suid
gcore,Sudo,/gtfobins/gcore/#sudo
gdb,Shell,/gtfobins/gdb/#shell
gdb,Reverse shell,/gtfobins/gdb/#reverse-shell
gdb,File upload,/gtfobins/gdb/#file-upload
gdb,File download,/gtfobins/gdb/#file-download
gdb,File write,/gtfobins/gdb/#file-write
gdb,File read,/gtfobins/gdb/#file-read
gdb,Library load,/gtfobins/gdb/#library-load
gdb,SUID,/gtfobins/gdb/#suid
gdb,Sudo,/gtfobins/gdb/#sudo
gdb,Capabilities,/gtfobins/gdb/#capabilities
gem,Shell,/gtfobins/gem/#shell
gem,Sudo,/gtfobins/gem/#sudo
genie,Shell,/gtfobins/genie/#shell
genie,SUID,/gtfobins/genie/#suid
genie,Sudo,/gtfobins/genie/#sudo
genisoimage,File read,/gtfobins/genisoimage/#file-read
genisoimage,SUID,/gtfobins/genisoimage/#suid
genisoimage,Sudo,/gtfobins/genisoimage/#sudo
ghc,Shell,/gtfobins/ghc/#shell
ghc,Sudo,/gtfobins/ghc/#sudo
ghci,Shell,/gtfobins/ghci/#shell
ghci,Sudo,/gtfobins/ghci/#sudo
gimp,Shell,/gtfobins/gimp/#shell
gimp,Reverse shell,/gtfobins/gimp/#reverse-shell
gimp,File upload,/gtfobins/gimp/#file-upload
gimp,File download,/gtfobins/gimp/#file-download
gimp,File write,/gtfobins/gimp/#file-write
gimp,File read,/gtfobins/gimp/#file-read
gimp,Library load,/gtfobins/gimp/#library-load
gimp,SUID,/gtfobins/gimp/#suid
gimp,Sudo,/gtfobins/gimp/#sudo
ginsh,Shell,/gtfobins/ginsh/#shell
ginsh,Sudo,/gtfobins/ginsh/#sudo
ginsh,Limited SUID,/gtfobins/ginsh/#limited-suid
git,Shell,/gtfobins/git/#shell
git,File write,/gtfobins/git/#file-write
git,File read,/gtfobins/git/#file-read
git,Sudo,/gtfobins/git/#sudo
git,Limited SUID,/gtfobins/git/#limited-suid
grc,Shell,/gtfobins/grc/#shell
grc,Sudo,/gtfobins/grc/#sudo
grep,File read,/gtfobins/grep/#file-read
grep,SUID,/gtfobins/grep/#suid
grep,Sudo,/gtfobins/grep/#sudo
gtester,Shell,/gtfobins/gtester/#shell
gtester,File write,/gtfobins/gtester/#file-write
gtester,SUID,/gtfobins/gtester/#suid
gtester,Sudo,/gtfobins/gtester/#sudo
gzip,File read,/gtfobins/gzip/#file-read
gzip,SUID,/gtfobins/gzip/#suid
gzip,Sudo,/gtfobins/gzip/#sudo
hd,File read,/gtfobins/hd/#file-read
hd,SUID,/gtfobins/hd/#suid
hd,Sudo,/gtfobins/hd/#sudo
head,File read,/gtfobins/head/#file-read
head,SUID,/gtfobins/head/#suid
head,Sudo,/gtfobins/head/#sudo
hexdump,File read,/gtfobins/hexdump/#file-read
hexdump,SUID,/gtfobins/hexdump/#suid
hexdump,Sudo,/gtfobins/hexdump/#sudo
highlight,File read,/gtfobins/highlight/#file-read
highlight,SUID,/gtfobins/highlight/#suid
highlight,Sudo,/gtfobins/highlight/#sudo
hping3,Shell,/gtfobins/hping3/#shell
hping3,SUID,/gtfobins/hping3/#suid
hping3,Sudo,/gtfobins/hping3/#sudo
iconv,File write,/gtfobins/iconv/#file-write
iconv,File read,/gtfobins/iconv/#file-read
iconv,SUID,/gtfobins/iconv/#suid
iconv,Sudo,/gtfobins/iconv/#sudo
iftop,Shell,/gtfobins/iftop/#shell
iftop,Sudo,/gtfobins/iftop/#sudo
iftop,Limited SUID,/gtfobins/iftop/#limited-suid
install,SUID,/gtfobins/install/#suid
install,Sudo,/gtfobins/install/#sudo
ionice,Shell,/gtfobins/ionice/#shell
ionice,SUID,/gtfobins/ionice/#suid
ionice,Sudo,/gtfobins/ionice/#sudo
ip,File read,/gtfobins/ip/#file-read
ip,SUID,/gtfobins/ip/#suid
ip,Sudo,/gtfobins/ip/#sudo
irb,Shell,/gtfobins/irb/#shell
irb,Reverse shell,/gtfobins/irb/#reverse-shell
irb,File upload,/gtfobins/irb/#file-upload
irb,File download,/gtfobins/irb/#file-download
irb,File write,/gtfobins/irb/#file-write
irb,File read,/gtfobins/irb/#file-read
irb,Library load,/gtfobins/irb/#library-load
irb,Sudo,/gtfobins/irb/#sudo
ispell,Shell,/gtfobins/ispell/#shell
ispell,SUID,/gtfobins/ispell/#suid
ispell,Sudo,/gtfobins/ispell/#sudo
jjs,Shell,/gtfobins/jjs/#shell
jjs,Reverse shell,/gtfobins/jjs/#reverse-shell
jjs,File download,/gtfobins/jjs/#file-download
jjs,File write,/gtfobins/jjs/#file-write
jjs,File read,/gtfobins/jjs/#file-read
jjs,SUID,/gtfobins/jjs/#suid
jjs,Sudo,/gtfobins/jjs/#sudo
joe,Shell,/gtfobins/joe/#shell
joe,Sudo,/gtfobins/joe/#sudo
joe,Limited SUID,/gtfobins/joe/#limited-suid
join,File read,/gtfobins/join/#file-read
join,SUID,/gtfobins/join/#suid
join,Sudo,/gtfobins/join/#sudo
journalctl,Shell,/gtfobins/journalctl/#shell
journalctl,Sudo,/gtfobins/journalctl/#sudo
jq,File read,/gtfobins/jq/#file-read
jq,SUID,/gtfobins/jq/#suid
jq,Sudo,/gtfobins/jq/#sudo
jrunscript,Shell,/gtfobins/jrunscript/#shell
jrunscript,Reverse shell,/gtfobins/jrunscript/#reverse-shell
jrunscript,File download,/gtfobins/jrunscript/#file-download
jrunscript,File write,/gtfobins/jrunscript/#file-write
jrunscript,File read,/gtfobins/jrunscript/#file-read
jrunscript,SUID,/gtfobins/jrunscript/#suid
jrunscript,Sudo,/gtfobins/jrunscript/#sudo
jtag,Shell,/gtfobins/jtag/#shell
jtag,Sudo,/gtfobins/jtag/#sudo
julia,Shell,/gtfobins/julia/#shell
julia,Reverse shell,/gtfobins/julia/#reverse-shell
julia,File download,/gtfobins/julia/#file-download
julia,File write,/gtfobins/julia/#file-write
julia,File read,/gtfobins/julia/#file-read
julia,SUID,/gtfobins/julia/#suid
julia,Sudo,/gtfobins/julia/#sudo
knife,Shell,/gtfobins/knife/#shell
knife,Sudo,/gtfobins/knife/#sudo
ksh,Shell,/gtfobins/ksh/#shell
ksh,Reverse shell,/gtfobins/ksh/#reverse-shell
ksh,File upload,/gtfobins/ksh/#file-upload
ksh,File download,/gtfobins/ksh/#file-download
ksh,File write,/gtfobins/ksh/#file-write
ksh,File read,/gtfobins/ksh/#file-read
ksh,SUID,/gtfobins/ksh/#suid
ksh,Sudo,/gtfobins/ksh/#sudo
ksshell,File read,/gtfobins/ksshell/#file-read
ksshell,SUID,/gtfobins/ksshell/#suid
ksshell,Sudo,/gtfobins/ksshell/#sudo
ksu,Sudo,/gtfobins/ksu/#sudo
kubectl,File upload,/gtfobins/kubectl/#file-upload
kubectl,SUID,/gtfobins/kubectl/#suid
kubectl,Sudo,/gtfobins/kubectl/#sudo
latex,Shell,/gtfobins/latex/#shell
latex,File read,/gtfobins/latex/#file-read
latex,Sudo,/gtfobins/latex/#sudo
latex,Limited SUID,/gtfobins/latex/#limited-suid
latexmk,Shell,/gtfobins/latexmk/#shell
latexmk,File read,/gtfobins/latexmk/#file-read
latexmk,Sudo,/gtfobins/latexmk/#sudo
ld.so,Shell,/gtfobins/ld.so/#shell
ld.so,SUID,/gtfobins/ld.so/#suid
ld.so,Sudo,/gtfobins/ld.so/#sudo
ldconfig,Sudo,/gtfobins/ldconfig/#sudo
ldconfig,Limited SUID,/gtfobins/ldconfig/#limited-suid
less,Shell,/gtfobins/less/#shell
less,File write,/gtfobins/less/#file-write
less,File read,/gtfobins/less/#file-read
less,SUID,/gtfobins/less/#suid
less,Sudo,/gtfobins/less/#sudo
lftp,Shell,/gtfobins/lftp/#shell
lftp,Sudo,/gtfobins/lftp/#sudo
lftp,Limited SUID,/gtfobins/lftp/#limited-suid
links,File read,/gtfobins/links/#file-read
links,SUID,/gtfobins/links/#suid
links,Sudo,/gtfobins/links/#sudo
ln,Sudo,/gtfobins/ln/#sudo
loginctl,Shell,/gtfobins/loginctl/#shell
loginctl,Sudo,/gtfobins/loginctl/#sudo
logsave,Shell,/gtfobins/logsave/#shell
logsave,SUID,/gtfobins/logsave/#suid
logsave,Sudo,/gtfobins/logsave/#sudo
look,File read,/gtfobins/look/#file-read
look,SUID,/gtfobins/look/#suid
look,Sudo,/gtfobins/look/#sudo
lp,File upload,/gtfobins/lp/#file-upload
ltrace,Shell,/gtfobins/ltrace/#shell
ltrace,File write,/gtfobins/ltrace/#file-write
ltrace,File read,/gtfobins/ltrace/#file-read
ltrace,Sudo,/gtfobins/ltrace/#sudo
lua,Shell,/gtfobins/lua/#shell
lua,Non-interactive reverse shell,/gtfobins/lua/#non-interactive-reverse-shell
lua,Non-interactive bind shell,/gtfobins/lua/#non-interactive-bind-shell
lua,File upload,/gtfobins/lua/#file-upload
lua,File download,/gtfobins/lua/#file-download
lua,File write,/gtfobins/lua/#file-write
lua,File read,/gtfobins/lua/#file-read
lua,SUID,/gtfobins/lua/#suid
lua,Sudo,/gtfobins/lua/#sudo
lua,Limited SUID,/gtfobins/lua/#limited-suid
lualatex,Shell,/gtfobins/lualatex/#shell
